Question,Answer
What is 2 plus 3?,2 plus 3 equals 5.
What is 2 + 3?,2 + 3 equals 5.
4 + 5 = ? ,4 + 5 equals 9
How do you find the area of a circle?,The area of a circle is πr².
What is the area of a circle with radius 4?,A circle with radius 4 has an area of 16π
The area of a square with an edge of 6?,Area of a circle which has an edge length 6 is calculated by 6 times 6. So area is 36
How to find the area of a square?,The area of a square (given it has an edge lenght of a) is a times a
What is 4 times 7?,4 * 7 is equal to 28
What is the perimeter of a square with edge length a?,"A square has 4 edges. If the edge lenght is a, the perimeter is 4a"
Perimeter of a square with edge lenght 8?,"A square with edge 8, has a perimeter of 4 * 8 = 32."
Perimeter of a circle?,The perimeter of a circle is 2πr.
20 divided by 5?,20 divided by 5 equals 4
"If 2x + 5 = 9, what is x?","To solve the question, first check: 2x = 4. If 2x equals 4, then x equals 2."
What is 15 plus 23?,15 plus 23 equals 38.
What is 20 + 30?,20 + 30 equals 50.
41 + 56 = ? ,41 + 56 equals 97
What is the area of a circle?,"The area of a circle is πr², where r is the radius."
Area of a circle with radius 8?,A circle with radius 8 has an area of 64π
"Square with an edge of 6, area?",Area of a circle which has an edge length 6 is calculated by 6 times 6. So area is 36
the area of a square?,The area of a square (given it has an edge lenght of a) is a times a
What is 9 times 12?,9 * 12 can be calculated by dividing into sub problem: 9 * 10 + 9 * 2. 90 + 18 equals 108
Perimeter of a square with edge length b?,"A square has 4 edges. If the edge lenght is a, the perimeter is 4b"
Perimeter of a square with edge lenght 2?,"A square with edge 2, has a perimeter of 4 * 8 = 32."
Perimeter of a circle with radius 3?,The perimeter of a circle is 6π
65 divided by 13?,65 divided by 13 is 5.
"If 3x - 28 = 5 , what is x?","To solve the question, first check: 3x = (5 + 28). If 3x equals 33, then x equals 11."
What is 18 divided by 42?,18 / 42 equals 0.43
Find the area of a rectangle with length 20 and width 20.,The area of a rectangle with length 20 and width 20 is 400.
"If 2x + 3 = 19, what is x?","To solve: 2x = 16, so x = 8."
"If I have 14 and 32, what is 14 - 32?",14 - 32 equals -18
What is the area of a circle with radius 10?,A circle with radius 10 has an area of 100π
"If 4x + 9 = 41, what is x?","To solve: 4x = 32, so x = 8."
What is 31 plus 41?,31 + 41 equals 72
Find the area of a rectangle with length 12 and width 1.,The area of a rectangle with length 12 and width 1 is 12.
"If 2x + 15 = 27, what is x?","To solve: 2x = 12, so x = 6."
What is 22 * 27?,22 * 27 equals 594
What is the area of a circle with radius 10?,A circle with radius 10 has an area of 100π
"If 1x + 19 = 28, what is x?","To solve: 1x = 9, so x = 9."
"If I have 29 and 33, what is 29 / 33?",29 / 33 equals 0.88
What is the perimeter of a square with side 6?,A square with side 6 has a perimeter of 24.
"If 5x + 18 = 43, what is x?","To solve: 5x = 25, so x = 5."
What is 21 * 13?,21 * 13 equals 273
What is the area of a triangle with base 9 and height 17?,The area of the triangle is 76.5.
"If 2x + 13 = 15, what is x?","To solve: 2x = 2, so x = 1."
What is 20 plus 29?,20 + 29 equals 49
What is the area of a circle with radius 19?,A circle with radius 19 has an area of 361π
"If 5x + 19 = 59, what is x?","To solve: 5x = 40, so x = 8."
What is 37 times 22?,37 * 22 equals 814
What is the area of a circle with radius 9?,A circle with radius 9 has an area of 81π
"If 1x + 15 = 22, what is x?","To solve: 1x = 7, so x = 7."
What is 41 divided by 17?,41 / 17 equals 2.41
What is the area of a circle with radius 9?,A circle with radius 9 has an area of 81π
"If 2x + 13 = 19, what is x?","To solve: 2x = 6, so x = 3."
42 - 10 = ?,42 - 10 equals 32
What is the area of a triangle with base 7 and height 11?,The area of the triangle is 38.5.
"If 2x + 2 = 20, what is x?","To solve: 2x = 18, so x = 9."
What is 3 plus 30?,3 + 30 equals 33
What is the area of a triangle with base 1 and height 8?,The area of the triangle is 4.0.
"If 2x + 11 = 31, what is x?","To solve: 2x = 20, so x = 10."
What is 46 minus 48?,46 - 48 equals -2
What is the area of a circle with radius 16?,A circle with radius 16 has an area of 256π
"If 3x + 3 = 12, what is x?","To solve: 3x = 9, so x = 3."
What is 14 times 32?,14 * 32 equals 448
What is the area of a circle with radius 13?,A circle with radius 13 has an area of 169π
"If 5x + 11 = 16, what is x?","To solve: 5x = 5, so x = 1."
"If I have 49 and 25, what is 49 + 25?",49 + 25 equals 74
Find the area of a rectangle with length 3 and width 9.,The area of a rectangle with length 3 and width 9 is 27.
"If 3x + 1 = 4, what is x?","To solve: 3x = 3, so x = 1."
20 * 31 = ?,20 * 31 equals 620
What is the area of a circle with radius 20?,A circle with radius 20 has an area of 400π
"If 5x + 10 = 35, what is x?","To solve: 5x = 25, so x = 5."
What is 13 - 31?,13 - 31 equals -18
What is the area of a circle with radius 14?,A circle with radius 14 has an area of 196π
"If 3x + 15 = 24, what is x?","To solve: 3x = 9, so x = 3."
What is 2 divided by 36?,2 / 36 equals 0.06
What is the area of a circle with radius 2?,A circle with radius 2 has an area of 4π
"If 1x + 18 = 26, what is x?","To solve: 1x = 8, so x = 8."
"If I have 43 and 36, what is 43 + 36?",43 + 36 equals 79
What is the area of a triangle with base 15 and height 17?,The area of the triangle is 127.5.
"If 4x + 5 = 21, what is x?","To solve: 4x = 16, so x = 4."
What is 44 / 45?,44 / 45 equals 0.98
Find the area of a rectangle with length 3 and width 12.,The area of a rectangle with length 3 and width 12 is 36.
"If 5x + 12 = 17, what is x?","To solve: 5x = 5, so x = 1."
43 * 24 = ?,43 * 24 equals 1032
What is the perimeter of a square with side 23?,A square with side 23 has a perimeter of 92.
"If 1x + 17 = 27, what is x?","To solve: 1x = 10, so x = 10."
10 + 16 = ?,10 + 16 equals 26
What is the area of a triangle with base 18 and height 11?,The area of the triangle is 99.0.
"If 2x + 11 = 17, what is x?","To solve: 2x = 6, so x = 3."
13 + 27 = ?,13 + 27 equals 40
Find the area of a rectangle with length 6 and width 1.,The area of a rectangle with length 6 and width 1 is 6.
"If 4x + 15 = 51, what is x?","To solve: 4x = 36, so x = 9."
29 + 46 = ?,29 + 46 equals 75
What is the perimeter of a square with side 3?,A square with side 3 has a perimeter of 12.
"If 5x + 6 = 31, what is x?","To solve: 5x = 25, so x = 5."
What is 34 + 7?,34 + 7 equals 41
What is the perimeter of a square with side 15?,A square with side 15 has a perimeter of 60.
"If 4x + 11 = 51, what is x?","To solve: 4x = 40, so x = 10."
"If I have 42 and 33, what is 42 + 33?",42 + 33 equals 75
What is the area of a circle with radius 3?,A circle with radius 3 has an area of 9π
"If 3x + 13 = 31, what is x?","To solve: 3x = 18, so x = 6."
"If I have 23 and 50, what is 23 + 50?",23 + 50 equals 73
What is the area of a circle with radius 3?,A circle with radius 3 has an area of 9π
"If 2x + 18 = 24, what is x?","To solve: 2x = 6, so x = 3."
What is 14 + 47?,14 + 47 equals 61
What is the perimeter of a square with side 18?,A square with side 18 has a perimeter of 72.
"If 2x + 4 = 6, what is x?","To solve: 2x = 2, so x = 1."
"If I have 44 and 46, what is 44 + 46?",44 + 46 equals 90
Find the area of a rectangle with length 9 and width 6.,The area of a rectangle with length 9 and width 6 is 54.
"If 4x + 3 = 15, what is x?","To solve: 4x = 12, so x = 3."
31 / 26 = ?,31 / 26 equals 1.19
Find the area of a rectangle with length 8 and width 2.,The area of a rectangle with length 8 and width 2 is 16.
"If 4x + 3 = 35, what is x?","To solve: 4x = 32, so x = 8."
47 - 24 = ?,47 - 24 equals 23
What is the area of a circle with radius 7?,A circle with radius 7 has an area of 49π
"If 4x + 2 = 30, what is x?","To solve: 4x = 28, so x = 7."
What is 28 - 41?,28 - 41 equals -13
Find the area of a rectangle with length 2 and width 11.,The area of a rectangle with length 2 and width 11 is 22.
"If 1x + 6 = 7, what is x?","To solve: 1x = 1, so x = 1."
What is 29 minus 12?,29 - 12 equals 17
What is the area of a circle with radius 17?,A circle with radius 17 has an area of 289π
"If 2x + 4 = 6, what is x?","To solve: 2x = 2, so x = 1."
What is 46 / 38?,46 / 38 equals 1.21
What is the perimeter of a square with side 16?,A square with side 16 has a perimeter of 64.
"If 3x + 7 = 31, what is x?","To solve: 3x = 24, so x = 8."
What is 31 + 43?,31 + 43 equals 74
What is the area of a triangle with base 14 and height 12?,The area of the triangle is 84.0.
"If 2x + 1 = 3, what is x?","To solve: 2x = 2, so x = 1."
"If I have 30 and 20, what is 30 * 20?",30 * 20 equals 600
Find the area of a rectangle with length 8 and width 8.,The area of a rectangle with length 8 and width 8 is 64.
"If 2x + 17 = 33, what is x?","To solve: 2x = 16, so x = 8."
9 / 15 = ?,9 / 15 equals 0.6
What is the area of a circle with radius 7?,A circle with radius 7 has an area of 49π
"If 2x + 6 = 26, what is x?","To solve: 2x = 20, so x = 10."
"If I have 30 and 3, what is 30 + 3?",30 + 3 equals 33
What is the area of a triangle with base 3 and height 2?,The area of the triangle is 3.0.
"If 2x + 15 = 21, what is x?","To solve: 2x = 6, so x = 3."
"If I have 34 and 33, what is 34 * 33?",34 * 33 equals 1122
What is the area of a triangle with base 10 and height 15?,The area of the triangle is 75.0.
"If 2x + 13 = 29, what is x?","To solve: 2x = 16, so x = 8."
46 - 48 = ?,46 - 48 equals -2
What is the area of a circle with radius 1?,A circle with radius 1 has an area of 1π
"If 1x + 4 = 6, what is x?","To solve: 1x = 2, so x = 2."
What is 26 - 48?,26 - 48 equals -22
Find the area of a rectangle with length 6 and width 6.,The area of a rectangle with length 6 and width 6 is 36.
"If 4x + 7 = 23, what is x?","To solve: 4x = 16, so x = 4."
"If I have 43 and 45, what is 43 + 45?",43 + 45 equals 88
What is the perimeter of a square with side 17?,A square with side 17 has a perimeter of 68.
"If 2x + 5 = 23, what is x?","To solve: 2x = 18, so x = 9."
34 + 42 = ?,34 + 42 equals 76
What is the area of a circle with radius 2?,A circle with radius 2 has an area of 4π
"If 1x + 11 = 15, what is x?","To solve: 1x = 4, so x = 4."
47 + 42 = ?,47 + 42 equals 89
What is the area of a circle with radius 8?,A circle with radius 8 has an area of 64π
"If 4x + 14 = 42, what is x?","To solve: 4x = 28, so x = 7."
"If I have 14 and 4, what is 14 * 4?",14 * 4 equals 56
What is the area of a circle with radius 6?,A circle with radius 6 has an area of 36π
"If 1x + 7 = 15, what is x?","To solve: 1x = 8, so x = 8."
3 * 4 = ?,3 * 4 equals 12
What is the perimeter of a square with side 6?,A square with side 6 has a perimeter of 24.
"If 3x + 14 = 20, what is x?","To solve: 3x = 6, so x = 2."
What is 25 - 47?,25 - 47 equals -22
What is the perimeter of a square with side 9?,A square with side 9 has a perimeter of 36.
"If 3x + 13 = 31, what is x?","To solve: 3x = 18, so x = 6."
What is 4 + 40?,4 + 40 equals 44
Find the area of a rectangle with length 12 and width 17.,The area of a rectangle with length 12 and width 17 is 204.
"If 2x + 17 = 33, what is x?","To solve: 2x = 16, so x = 8."
What is 39 times 45?,39 * 45 equals 1755
Find the area of a rectangle with length 2 and width 2.,The area of a rectangle with length 2 and width 2 is 4.
"If 4x + 19 = 55, what is x?","To solve: 4x = 36, so x = 9."
What is 44 times 29?,44 * 29 equals 1276
What is the area of a circle with radius 18?,A circle with radius 18 has an area of 324π
"If 2x + 18 = 26, what is x?","To solve: 2x = 8, so x = 4."
8 * 1 = ?,8 * 1 equals 8
What is the perimeter of a square with side 11?,A square with side 11 has a perimeter of 44.
"If 2x + 20 = 26, what is x?","To solve: 2x = 6, so x = 3."
What is 2 + 7?,2 + 7 equals 9
What is the perimeter of a square with side 30?,A square with side 30 has a perimeter of 120.
"If 3x + 4 = 7, what is x?","To solve: 3x = 3, so x = 1."
What is 25 times 6?,25 * 6 equals 150
What is the perimeter of a square with side 8?,A square with side 8 has a perimeter of 32.
"If 5x + 13 = 18, what is x?","To solve: 5x = 5, so x = 1."
"If I have 20 and 2, what is 20 - 2?",20 - 2 equals 18
What is the area of a triangle with base 4 and height 17?,The area of the triangle is 34.0.
"If 2x + 18 = 36, what is x?","To solve: 2x = 18, so x = 9."
"If I have 26 and 37, what is 26 + 37?",26 + 37 equals 63
Find the area of a rectangle with length 17 and width 20.,The area of a rectangle with length 17 and width 20 is 340.
"If 4x + 19 = 39, what is x?","To solve: 4x = 20, so x = 5."
What is 8 divided by 49?,8 / 49 equals 0.16
What is the area of a triangle with base 1 and height 3?,The area of the triangle is 1.5.
"If 1x + 6 = 8, what is x?","To solve: 1x = 2, so x = 2."
What is 47 times 20?,47 * 20 equals 940
Find the area of a rectangle with length 10 and width 4.,The area of a rectangle with length 10 and width 4 is 40.
"If 3x + 2 = 5, what is x?","To solve: 3x = 3, so x = 1."
"If I have 26 and 3, what is 26 + 3?",26 + 3 equals 29
What is the perimeter of a square with side 7?,A square with side 7 has a perimeter of 28.
"If 5x + 4 = 29, what is x?","To solve: 5x = 25, so x = 5."
39 * 30 = ?,39 * 30 equals 1170
What is the area of a triangle with base 1 and height 17?,The area of the triangle is 8.5.
"If 2x + 7 = 17, what is x?","To solve: 2x = 10, so x = 5."
What is 40 times 24?,40 * 24 equals 960
What is the perimeter of a square with side 11?,A square with side 11 has a perimeter of 44.
"If 4x + 18 = 46, what is x?","To solve: 4x = 28, so x = 7."
42 * 8 = ?,42 * 8 equals 336
What is the area of a circle with radius 11?,A circle with radius 11 has an area of 121π
"If 3x + 18 = 45, what is x?","To solve: 3x = 27, so x = 9."
What is 22 * 14?,22 * 14 equals 308
Find the area of a rectangle with length 5 and width 16.,The area of a rectangle with length 5 and width 16 is 80.
"If 3x + 8 = 11, what is x?","To solve: 3x = 3, so x = 1."
What is 35 minus 5?,35 - 5 equals 30
Find the area of a rectangle with length 2 and width 16.,The area of a rectangle with length 2 and width 16 is 32.
"If 2x + 3 = 21, what is x?","To solve: 2x = 18, so x = 9."
What is 45 / 43?,45 / 43 equals 1.05
What is the perimeter of a square with side 16?,A square with side 16 has a perimeter of 64.
"If 4x + 1 = 13, what is x?","To solve: 4x = 12, so x = 3."
4 + 47 = ?,4 + 47 equals 51
What is the area of a triangle with base 18 and height 10?,The area of the triangle is 90.0.
"If 3x + 2 = 8, what is x?","To solve: 3x = 6, so x = 2."
What is 1 + 15?,1 + 15 equals 16
What is the area of a triangle with base 1 and height 17?,The area of the triangle is 8.5.
"If 5x + 18 = 28, what is x?","To solve: 5x = 10, so x = 2."
What is 19 divided by 25?,19 / 25 equals 0.76
What is the area of a triangle with base 17 and height 18?,The area of the triangle is 153.0.
"If 3x + 6 = 12, what is x?","To solve: 3x = 6, so x = 2."
What is 9 - 17?,9 - 17 equals -8
What is the area of a triangle with base 1 and height 7?,The area of the triangle is 3.5.
"If 5x + 13 = 58, what is x?","To solve: 5x = 45, so x = 9."
What is 41 * 21?,41 * 21 equals 861
What is the area of a circle with radius 16?,A circle with radius 16 has an area of 256π
"If 5x + 5 = 35, what is x?","To solve: 5x = 30, so x = 6."
24 + 28 = ?,24 + 28 equals 52
What is the area of a triangle with base 7 and height 11?,The area of the triangle is 38.5.
"If 4x + 9 = 21, what is x?","To solve: 4x = 12, so x = 3."
"If I have 26 and 22, what is 26 + 22?",26 + 22 equals 48
Find the area of a rectangle with length 3 and width 15.,The area of a rectangle with length 3 and width 15 is 45.
"If 3x + 5 = 35, what is x?","To solve: 3x = 30, so x = 10."
33 + 6 = ?,33 + 6 equals 39
Find the area of a rectangle with length 4 and width 9.,The area of a rectangle with length 4 and width 9 is 36.
"If 1x + 10 = 17, what is x?","To solve: 1x = 7, so x = 7."
15 + 28 = ?,15 + 28 equals 43
Find the area of a rectangle with length 1 and width 19.,The area of a rectangle with length 1 and width 19 is 19.
"If 2x + 10 = 18, what is x?","To solve: 2x = 8, so x = 4."
39 - 40 = ?,39 - 40 equals -1
What is the perimeter of a square with side 20?,A square with side 20 has a perimeter of 80.
"If 5x + 15 = 50, what is x?","To solve: 5x = 35, so x = 7."
What is 50 - 26?,50 - 26 equals 24
What is the area of a circle with radius 16?,A circle with radius 16 has an area of 256π
"If 2x + 4 = 22, what is x?","To solve: 2x = 18, so x = 9."
"If I have 26 and 9, what is 26 - 9?",26 - 9 equals 17
Find the area of a rectangle with length 12 and width 12.,The area of a rectangle with length 12 and width 12 is 144.
"If 1x + 10 = 20, what is x?","To solve: 1x = 10, so x = 10."
"If I have 49 and 3, what is 49 / 3?",49 / 3 equals 16.33
What is the area of a triangle with base 14 and height 13?,The area of the triangle is 91.0.
"If 5x + 1 = 11, what is x?","To solve: 5x = 10, so x = 2."
What is 15 divided by 12?,15 / 12 equals 1.25
What is the area of a triangle with base 16 and height 1?,The area of the triangle is 8.0.
"If 4x + 18 = 54, what is x?","To solve: 4x = 36, so x = 9."
"If I have 22 and 46, what is 22 * 46?",22 * 46 equals 1012
Find the area of a rectangle with length 9 and width 7.,The area of a rectangle with length 9 and width 7 is 63.
"If 4x + 19 = 47, what is x?","To solve: 4x = 28, so x = 7."
What is 36 * 8?,36 * 8 equals 288
What is the area of a circle with radius 4?,A circle with radius 4 has an area of 16π
"If 2x + 2 = 20, what is x?","To solve: 2x = 18, so x = 9."
What is 47 / 19?,47 / 19 equals 2.47
What is the perimeter of a square with side 12?,A square with side 12 has a perimeter of 48.
"If 5x + 15 = 30, what is x?","To solve: 5x = 15, so x = 3."
What is 25 minus 13?,25 - 13 equals 12
What is the area of a triangle with base 5 and height 19?,The area of the triangle is 47.5.
"If 3x + 3 = 27, what is x?","To solve: 3x = 24, so x = 8."
30 - 22 = ?,30 - 22 equals 8
What is the area of a triangle with base 11 and height 18?,The area of the triangle is 99.0.
"If 1x + 17 = 18, what is x?","To solve: 1x = 1, so x = 1."
What is 42 times 33?,42 * 33 equals 1386
What is the perimeter of a square with side 20?,A square with side 20 has a perimeter of 80.
"If 3x + 12 = 27, what is x?","To solve: 3x = 15, so x = 5."
16 * 46 = ?,16 * 46 equals 736
Find the area of a rectangle with length 4 and width 19.,The area of a rectangle with length 4 and width 19 is 76.
"If 2x + 6 = 8, what is x?","To solve: 2x = 2, so x = 1."
What is 33 / 18?,33 / 18 equals 1.83
What is the area of a triangle with base 19 and height 1?,The area of the triangle is 9.5.
"If 5x + 7 = 37, what is x?","To solve: 5x = 30, so x = 6."
31 / 34 = ?,31 / 34 equals 0.91
Find the area of a rectangle with length 19 and width 9.,The area of a rectangle with length 19 and width 9 is 171.
"If 2x + 3 = 21, what is x?","To solve: 2x = 18, so x = 9."
What is 9 divided by 17?,9 / 17 equals 0.53
What is the perimeter of a square with side 19?,A square with side 19 has a perimeter of 76.
"If 4x + 13 = 41, what is x?","To solve: 4x = 28, so x = 7."
What is 12 minus 25?,12 - 25 equals -13
What is the area of a circle with radius 18?,A circle with radius 18 has an area of 324π
"If 5x + 19 = 39, what is x?","To solve: 5x = 20, so x = 4."
What is 6 plus 11?,6 + 11 equals 17
Find the area of a rectangle with length 10 and width 2.,The area of a rectangle with length 10 and width 2 is 20.
"If 1x + 3 = 10, what is x?","To solve: 1x = 7, so x = 7."
What is 10 minus 21?,10 - 21 equals -11
What is the perimeter of a square with side 17?,A square with side 17 has a perimeter of 68.
"If 5x + 8 = 28, what is x?","To solve: 5x = 20, so x = 4."
"If you have 3 apples and share them with 3 friends equally, how many apples does each get?",Each friend gets 1.0 apples.
"If you have 3 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 3.0 apples.
"If you have 4 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 0.8 apples.
"If you have 8 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 8.0 apples.
"If you have 10 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 2.0 apples.
"If you have 3 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 3.0 apples.
"If you have 6 apples and share them with 4 friends equally, how many apples does each get?",Each friend gets 1.5 apples.
"If you have 10 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 10.0 apples.
"If you have 10 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 10.0 apples.
"If you have 10 apples and share them with 3 friends equally, how many apples does each get?",Each friend gets 3.33 apples.
"If you have 5 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 1.0 apples.
"If you have 9 apples and share them with 4 friends equally, how many apples does each get?",Each friend gets 2.25 apples.
"If you have 4 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 4.0 apples.
"If you have 8 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 8.0 apples.
"If you have 6 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 6.0 apples.
"If you have 7 apples and share them with 2 friends equally, how many apples does each get?",Each friend gets 3.5 apples.
"If you have 8 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 1.6 apples.
"If you have 10 apples and share them with 3 friends equally, how many apples does each get?",Each friend gets 3.33 apples.
"If you have 3 apples and share them with 1 friends equally, how many apples does each get?",Each friend gets 3.0 apples.
"If you have 10 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 2.0 apples.
"If you have 9 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 1.8 apples.
"If you have 9 apples and share them with 4 friends equally, how many apples does each get?",Each friend gets 2.25 apples.
"If you have 3 apples and share them with 4 friends equally, how many apples does each get?",Each friend gets 0.75 apples.
"If you have 7 apples and share them with 2 friends equally, how many apples does each get?",Each friend gets 3.5 apples.
"If you have 3 apples and share them with 3 friends equally, how many apples does each get?",Each friend gets 1.0 apples.
"If you have 8 apples and share them with 3 friends equally, how many apples does each get?",Each friend gets 2.67 apples.
"If you have 9 apples and share them with 2 friends equally, how many apples does each get?",Each friend gets 4.5 apples.
"If you have 6 apples and share them with 2 friends equally, how many apples does each get?",Each friend gets 3.0 apples.
"If you have 8 apples and share them with 2 friends equally, how many apples does each get?",Each friend gets 4.0 apples.
"If you have 4 apples and share them with 5 friends equally, how many apples does each get?",Each friend gets 0.8 apples.
